elecciones,tipo,Fuente,fecha,fecha de elaboracion,Sample,Participacion,PSOE,PP,Ciudadanos,Partido Andalucista,Pacma,VOX,Adelante Andalucia (Podemos e IU),AxSi,margen de error
Andalucia,Elecciones,2018 regional election,02-12-18,02-12-18,N/A,56.6,27.9,20.7,18.3,  ,1.9,11,16.2,0.6,-
Andalucia,Encuesta,electoPanel/electomania.es,30-11-18,29 - 30 11 2018,,,32,19.6,18.4,  ,0.6,6.3,19.6,0.6,-
Andalucia,Encuesta,GAD3/ABC,30-11-18,19 - 30 11 2018,"4,800",,30.6,19.7,17.6,  ,  ,10.2,18.4,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,29-11-18,28 - 29 11 2018,,,32,19.4,18.7,  ,0.6,6,19.8,0.7,-
Andalucia,Encuesta,electoPanel/electomania.es,28-11-18,27 - 28 11 2018,,,32.1,19.2,18.8,  ,0.5,5.8,20,0.7,-
Andalucia,Encuesta,PSOE,27-11-18,27-11-18,,,33,22,15,  ,  ,5,20,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,27-11-18,26 - 27 11 2018,,,32.2,19.6,18.2,  ,0.5,5.8,20.1,0.8,-
Andalucia,Anotacion,Inicio oficial de la prohibicion de la realizacion y publicacion de encuestas electorales de opinion,,,,,,,,,,,,,-
Andalucia,Encuesta,GAD3/ABC,26-11-18,19 - 26 11 2018,"2,900",,32.6,20.7,19.3,  ,  ,6.8,17.6,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,25-11-18,20 - 25 11 2018,"1,100",,32.4,19.8,18.6,  ,0.5,5.4,19.7,0.8,-
Andalucia,Encuesta,SyM Consulting,23-11-18,21 - 23 11 2018,"5,300",63.5,31.9,23.6,13.9,  ,  ,4.1,21.9,  ,-
Andalucia,Encuesta,Deimos Estadística,23-11-18,20 - 23 11 2018,"1,200",,36,24.9,13.2,  ,1.7,2.8,18.2,0.6,-
Andalucia,Encuesta,NC Report/La Razón,23-11-18,19 - 23 11 2018,"1,000",61.1,34.5,22.3,14.8,  ,  ,3.8,21.4,  ,-
Andalucia,Encuesta,Celeste-Tel/eldiario.es,23-11-18,19 - 23 11 2018,"1,000",,35.8,21.6,15,  ,  ,3.2,21.2,  ,-
Andalucia,Encuesta,Sociométrica/El Español,23-11-18,16 - 23 11 2018,"1,200",,32.8,22.7,16.2,  ,1.4,6.5,18.6,  ,-
Andalucia,Encuesta,Top Position,21-11-18,19 - 21 11 2018,"1,200",,32.3,20.5,17.8,  ,  ,6.1,21.3,  ,-
Andalucia,Encuesta,Invymark/laSexta,21-11-18,17 - 21 11 2018,,,33,22.2,19.7,  ,  ,3.2,19.5,  ,-
Andalucia,Encuesta,Sigma Dos/El Mundo,20-11-18,16 - 20 11 2018,"2,500",,30.3,20.8,20.2,  ,  ,5.9,19,  ,-
Andalucia,Encuesta,40dB/El País,19-11-18,12 - 19 11 2018,"1,204",,32.1,20,18,  ,3.1,4.3,19,  ,-
Andalucia,Encuesta,Celeste-Tel,19-11-18,6 - 19 11 2018,"2,400",62,35.9,21.8,14.6,  ,  ,3.1,21.1,  ,-
Andalucia,Encuesta,Key Data/Público,18-11-18,18-11-18,,64.6,33.4,21.6,20.6,  ,  ,  ,18.3,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,18-11-18,13 - 18 11 2018,"1,100",,33.3,18,20.2,  ,0.6,4.4,19.6,0.8,-
Andalucia,Encuesta,NC Report/La Razón,16-11-18,12 - 16 11 2018,"1,000",60.2,34.6,22.8,15.5,  ,  ,2,21.1,  ,-
Andalucia,Encuesta,Sociométrica/El Español,16-11-18,9 - 16 11 2018,"1,200",,30.6,21.2,19,  ,1.3,5.6,20.4,  ,-
Andalucia,Campaign,La campaña comienza oficialmente,16-11-18,16-11-18,,,,,,,,,,,-
Andalucia,Encuesta,Sigma Dos/Antena 3,15-11-18,12 - 15 11 2018,,,32,22.2,19.2,  ,  ,3.6,18.6,  ,-
Andalucia,Encuesta,Sociométrica/El Español,15-11-18,8 - 15 11 2018,"1,200",,29.3,21.8,19.2,  ,  ,  ,20.1,  ,-
Andalucia,Encuesta,Metroscopia/Grupo Joly,15-11-18,4 - 15 11 2018,"4,000",64,30.9,20.1,21.2,  ,  ,3.1,20.9,  ,-
Andalucia,Encuesta,GAD3/ABC,14-11-18,8 - 14 11 2018,"1,803",,33.5,22.3,19.5,  ,1.7,3.6,17.4,  ,-
Andalucia,Encuesta,Sociométrica/El Español,14-11-18,7 - 14 11 2018,"1,200",,29,20.8,20,  ,  ,  ,20.3,  ,-
Andalucia,Encuesta,Sociométrica/El Español,13-11-18,6 - 13 11 2018,"1,200",,29.6,20.6,21.3,  ,  ,  ,19,  ,-
Andalucia,Encuesta,Sociométrica/El Español,12-11-18,5 - 12 11 2018,"1,200",,30,20.5,22,  ,  ,  ,18.8,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,11-11-18,6 - 11 11 2018,"1,100",,32.6,19.6,20.2,  ,0.5,3.4,20.2,0.9,-
Andalucia,Encuesta,Sociométrica/El Español,06-11-18,30 10 - 6 11 2018,"1,100",,30.2,20.4,22.4,  ,1.2,4.2,18.6,  ,-
Andalucia,Encuesta,SW Demoscopia/Grupo Viva,06-11-18,18 10 - 6 11 2018,"3,400",,30.4,19.8,20.6,  ,  ,4.2,17.5,2.5,-
Andalucia,Encuesta,electoPanel/electomania.es,04-11-18,30 10 - 4 11 2018,"1,100",,32.4,19.3,20.9,  ,0.5,3.3,19.9,1,-
Andalucia,Encuesta,CIS - (Kiko Llaneras),31-10-18,15 - 31 10 2018,"4,895",,33.1,23.7,18,  ,  ,2.5,20.5,  ,-
Andalucia,Encuesta,CIS,31-10-18,15 - 31 10 2018,"4,895",,37.4,18.7,18.6,  ,2.2,3.2,19.3,  ,-
Andalucia,Encuesta,Celeste-Tel/eldiario.es,30-10-18,24 - 30 10 2018,"1,000",,36.7,23.8,13.6,  ,  ,  ,19.3,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,28-10-18,23 - 28 10 2018,"1,100",,32.7,20.9,19.9,  ,0.5,2.7,19.1,1.1,-
Andalucia,Encuesta,NC Report/La Razón,18-10-18,15 - 18 10 2018,"1,000",59,36.6,23.4,14,  ,  ,  ,18.6,  ,-
Andalucia,Encuesta,IMOP/El Confidencial,17-10-18,15 - 17 10 2018,"1,019",,29.8,20.5,22.3,  ,  ,  ,21.7,  ,-
Andalucia,Encuesta,JM&A/Público,14-10-18,14-10-18,,,37.7,20.7,18.3,  ,  ,  ,17.1,  ,-
Andalucia,Encuesta,Aurea Project/ESdiario,08-10-18,18 11 - 8 10 2018,"3,200",,32.8,23.6,18.5,  ,2.3,1,19,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,18-11-18,16 - 18 11 2018,,,32,20.6,20.9,  ,0.8,1.4,21,0.9,-
Andalucia,Encuesta,Sociométrica/El Español,17-11-18,17-11-18,"1,100",,27.1,21.6,22.9,  ,1.1,1.4,21,1.9,-
Andalucia,Encuesta,SW Demoscopia/Grupo Viva,20-Jun-18,6 - 20 Jun 2018,"3,519",,38.1,19.8,21.5,  ,  ,  ,14.8,  ,-
Andalucia,Encuesta,electoPanel/electomania.es,07-Jun-18,3 - 7 Jun 2018,,,34.4,21.6,17.6,  ,  ,  ,19.9,  ,-
Andalucia,Encuesta,SyM Consulting,27-May-18,25 - 27 May 2018,"4,650",64.9,31.5,24.2,13.1,  ,  ,  ,  ,  ,-
Andalucia,Encuesta,IDR.UGR/Podemos,07-Mar-18,25 Jan - 7 Mar 2018,"3,200",,32.3,20.8,17.5,  ,  ,  ,  ,  ,-
Andalucia,Encuesta,NC Report,25-Feb-18,25-Feb-18,"2,500",,33.3,25.6,13.9,  ,  ,  ,  ,  ,-
Andalucia,Encuesta,Deimos Estadística,23-Feb-18,19 - 23 Feb 2018,"1,287",,34.6,25.4,19.7,  ,1.7,  ,  ,  ,-
Andalucia,Encuesta,SW Demoscopia/Grupo Viva,19-Feb-18,1 - 19 Feb 2018,"6,000",,36.8,22.5,19.3,  ,  ,  ,16.5,  ,-
Andalucia,Encuesta,OCG,18-Feb-18,15 Jan - 18 Feb 2018,"1,400",,32.1,27.4,13.3,  ,  ,  ,14.9,  ,-
Andalucia,Encuesta,CADPEA/UGR,01-Feb-18,11 Jan - 1 Feb 2018,"1,200",60.1,34.1,18.3,19.8,  ,  ,  ,  ,  ,-
Andalucia,Encuesta,GAD3/ABC,23-Jan-18,19 - 23 Jan 2018,800,63,31.5,23,23,  ,  ,  ,  ,  ,-
