Elecciones,tipo,Fuente,fecha,fecha de elaboracion,Si,No,NS/NC,abstencion,Muestra,Margen de error
Colombia,Elecciones,,2-Oct-2016,02-Oct-16,49.7,50.2,,37.43,12792453,0
Colombia,Encuesta,Invamer Gllup,18-Aug-2016,18-08-16,67.5,32.5,0,,1200,5
Colombia,Encuesta,Datexco,23-Aug-2016,23-08-16,32.1,29.9,9.7,26.9,700,3.7
Colombia,Encuesta,Datexco,26-Aug-2016,26-08-16,39.2,27.7,10.5,,-,3.7
Colombia,Encuesta,Cifras & Conceptos,2-Sep-2016,02-09-16,62,28,10,,2305,2.2
Colombia,Encuesta,Datexco,2-Sep-2016,02-09-16,59.5,33.2,7.3,,1163,0
Colombia,Encuesta,Ipsos Napoleón Franco,8-Sep-2016,08-09-16,72,28,0,,799,3.5
Colombia,Encuesta,Datexco,9-Sep-2016,09-09-16,64.8,28.1,7.1,,1196,2.13
Colombia,Encuesta,Datexco,16-Sep-2016,16-09-16,58.1,24.3,12.2,,1226,2.13
Colombia,Encuesta,Invamer Gllup,20-Sep-2016,20-09-16,67.6,32.4,0,,1200,4.8
Colombia,Encuesta,Cifras & Conceptos,23-Sep-2016,23-09-16,54,34,2,,1674,2.2
Colombia,Encuesta,Cifras & Conceptos,27-Sep-2016,27-09-16,62,38,0,,540,3.8
Colombia,Encuesta,Datexco,27-Sep-2016,27-09-16,55,36.6,8.4,,2.109,2.1
Colombia,Encuesta,Ipsos Napoleón Franco,27-Sep-2016,27-09-16,66,34,0,,851,4.7
Colombia,Encuesta,Guarumo,25-Sep-2016,"23, 24, 25 Septiembre 2016",56.1,42.1,1.8,,2032,2.7
